temperature,humidity,rainfall,label
23.6893322105,82.27282153889999,236.18111359399998,rice
22.389203910199996,65.0922494467,84.76698766300002,maize
18.8728467519,16.8604394237,80.0589772605,chickpea
20.1150846851,21.605356729499995,105.91977754210002,kidneybeans
27.741762225899997,48.0616330847,149.4575638135,pigeonpeas
28.194920484199994,53.16041802789999,51.198487045700006,mothbeans
28.5257747353,85.49997454300001,48.403600902899996,mungbean
29.9733396789,65.1184255887,67.88415118319999,blackgram
24.509052402600002,64.80478467849998,45.680454204,lentil
21.837841721999997,90.12550378950002,107.52844239699999,pomegranate
27.3767983057,80.3581225811,104.62698040009998,banana
31.2087701513,50.1565726953,94.70451504479999,mango
23.849575120049998,81.87522752119999,69.611828886,grapes
25.591767237499997,85.1603752936,50.7862189449,watermelon
28.663065755999995,92.34280196090002,24.689952066,muskmelon
22.6309424132,92.33338287560002,112.65477927500002,apple
22.7657254967,92.17020876340001,110.47496871999999,orange
33.7238587388,92.40338768259998,142.6278388629,papaya
27.409892172299998,94.84427180609998,175.68664580399997,coconut
23.988957895200006,79.8434742538,80.3980431193,cotton
24.958375826499996,79.6398642063,174.792797536,jute
25.5404768193,58.86984630029999,158.066294882,coffee
